检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|09:19:50.126,20260304,09:19:50.126,09:19:51.126,PG,PG2604,44390126,16702,16702,44390126,"visible_execution_drop,interval_execution_drop",5291.5,2.9652,3,"PG2605,PG2609,PG2608",20,555,289.505,5269.0,5267.7037037037035,22.5,42.521024284229426,23.796296296296532,44.97079523064638,5267.963636363636,23.536363636363603,20.0,20.0,11.421296296296532,27.0,2844560.0,27.0,12850.000000000127,trade_recovered_3s,2.0,3.0,2.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|09:20:40.126,20260304,09:20:40.126,09:20:41.126,PG,PG2604,44440126,16802,16802,44440126,interval_execution_drop,5264.5,2.2239,3,"PG2606,PG2609,PG2608",20,542,289.505,5245.0,5241.839285714285,19.5,37.040554658562066,22.660714285714675,43.04438082574732,5243.46875,21.03125,20.0,20.0,11.436224489796587,56.0,5870860.0,56.0,25380.000000000437,trade_recovered_3s,,1.5,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|14:52:27.834,20260304,14:52:27.834,14:52:28.834,PG,PG2604,64347334,40119,40119,64350334,"visible_execution_drop,interval_execution_drop",5314.5,5.1891,3,"PG2606,PG2609,PG2608",20,539,289.507,5276.0,5277.9473684210525,38.5,72.44331545771004,36.55263157894751,68.77906026709476,5280.0462962962965,34.45370370370347,20.0,20.0,23.544137466307347,19.0,2005620.0,407.0,13890.000000000055,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|14:52:48.834,20260304,14:52:48.834,14:52:49.834,PG,PG2604,64368334,40161,40161,64369334,"visible_execution_drop,interval_execution_drop",5298.0,8.1543,3,"PG2605,PG2609,PG2608",20,513,289.507,5255.0,5256.71875,43.0,81.16270290675726,41.28125,77.91855417138542,5256.587786259543,41.412213740457446,20.0,20.0,30.0,64.0,6728600.0,190.0,52840.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2605|09:28:10.629,20260304,09:28:10.629,09:28:11.629,PG,PG2605,44890629,14628,14628,44890629,interval_execution_drop,5058.5,4.4478,3,"PG2607,PG2609,PG2608",20,419,289.501,5028.0,5028.5,30.5,60.294553721458925,30.0,59.306118414549765,5023.735294117647,34.764705882353155,31.151999999999997,27.78609729729234,24.0,6.0,603420.0,6.0,3600.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2605|09:33:45.635,20260304,09:33:45.635,09:33:46.635,PG,PG2605,45225635,15298,15298,45225635,"visible_execution_drop,interval_execution_drop",5048.0,9.636899999999999,3,"PG2604,PG2609,PG2608",20,439,289.506,5016.0,5010.223880597015,32.0,63.391442155309036,37.77611940298539,74.83383399957485,5011.892857142857,36.10714285714312,24.2216,24.479443478252428,25.901119402985387,67.0,6713700.0,67.0,50620.00000000042,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2605|14:52:26.834,20260304,14:52:26.834,14:52:27.834,PG,PG2605,64346334,36063,36063,64350334,"visible_execution_drop,interval_execution_drop",5198.0,5.9304,3,"PG2604,PG2609,PG2608",20,260,289.007,5162.0,5165.901408450704,36.0,69.25740669488265,32.098591549295634,61.75181136840253,5167.084033613445,30.915966386554828,20.0,20.0,25.85096153846189,71.0,7335580.0,218.0,45579.999999999796,quote_only_recovered_3s,2.0,4.0,2.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2605|14:52:48.334,20260304,14:52:48.334,14:52:49.334,PG,PG2605,64368334,36106,36106,64368834,"visible_execution_drop,interval_execution_drop",5183.0,5.1891,3,"PG2604,PG2609,PG2608",20,256,289.507,5147.0,5144.225806451613,36.0,69.45784294809955,38.7741935483873,74.81032905341945,5145.31914893617,37.68085106383023,20.0,20.0,18.649193548387302,31.0,3189420.0,36.0,24040.000000000127,trade_recovered_10s,4.5,5.5,4.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2606|21:12:05.321,20260304,21:12:05.321,21:12:06.321,PG,PG2606,725321,1346,1346,725321,"visible_execution_drop,interval_execution_drop",5114.5,9.636899999999999,2,"PG2604,PG2609",20,221,289.518,5086.0,5086.333333333334,28.5,55.72392218203148,28.16666666666606,55.07218040212349,5084.7,29.800000000000182,20.0,20.0,17.75,6.0,610360.0,6.0,3379.9999999999272,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2606|09:33:45.635,20260304,09:33:45.635,,PG,PG2606,45225635,14333,14333,45225635,visible_execution_drop,4914.0,5.1891,3,"PG2604,PG2609,PG2608",20,146,289.506,4874.0,4874.0,40.0,81.40008140008139,40.0,81.40008140008139,,,20.6227,20.0,26.25,8.0,779840.0,8.0,6400.0,persistent_10s,,,,
